date,demand,year,month,month_name,day,day_name
2002-03-27,476.0,2002,3,March,27,Wednesday
2002-03-28,590.0,2002,3,March,28,Thursday
2002-03-29,0.0,2002,3,March,29,Friday
2002-03-30,0.0,2002,3,March,30,Saturday
2002-03-31,0.0,2002,3,March,31,Sunday
2002-04-01,1096.0,2002,4,April,01,Monday
2002-04-02,1857.0,2002,4,April,02,Tuesday
2002-04-03,981.0,2002,4,April,03,Wednesday
2002-04-04,880.0,2002,4,April,04,Thursday
2002-04-05,3560.0,2002,4,April,05,Friday
2002-04-06,0.0,2002,4,April,06,Saturday
2002-04-07,0.0,2002,4,April,07,Sunday
2002-04-08,10118.0,2002,4,April,08,Monday
2002-04-09,378.0,2002,4,April,09,Tuesday
2002-04-10,1448.0,2002,4,April,10,Wednesday
2002-04-11,5415.0,2002,4,April,11,Thursday
2002-04-12,1675.0,2002,4,April,12,Friday
2002-04-13,0.0,2002,4,April,13,Saturday
2002-04-14,0.0,2002,4,April,14,Sunday
2002-04-15,292.0,2002,4,April,15,Monday
2002-04-16,996.0,2002,4,April,16,Tuesday
2002-04-17,1612.0,2002,4,April,17,Wednesday
2002-04-18,4882.0,2002,4,April,18,Thursday
2002-04-19,56.0,2002,4,April,19,Friday
2002-04-20,0.0,2002,4,April,20,Saturday
2002-04-21,0.0,2002,4,April,21,Sunday
2002-04-22,1202.0,2002,4,April,22,Monday
2002-04-23,682.0,2002,4,April,23,Tuesday
2002-04-24,950.0,2002,4,April,24,Wednesday
2002-04-25,243.0,2002,4,April,25,Thursday
2002-04-26,2306.0,2002,4,April,26,Friday
2002-04-27,0.0,2002,4,April,27,Saturday
2002-04-28,0.0,2002,4,April,28,Sunday
2002-04-29,968.0,2002,4,April,29,Monday
2002-04-30,155.0,2002,4,April,30,Tuesday
2002-05-01,645.0,2002,5,May,01,Wednesday
2002-05-02,522.0,2002,5,May,02,Thursday
2002-05-03,2480.0,2002,5,May,03,Friday
2002-05-04,0.0,2002,5,May,04,Saturday
2002-05-05,0.0,2002,5,May,05,Sunday
2002-05-06,7068.0,2002,5,May,06,Monday
2002-05-07,658.0,2002,5,May,07,Tuesday
2002-05-08,7974.0,2002,5,May,08,Wednesday
2002-05-09,3056.0,2002,5,May,09,Thursday
2002-05-10,313.0,2002,5,May,10,Friday
2002-05-11,0.0,2002,5,May,11,Saturday
2002-05-12,0.0,2002,5,May,12,Sunday
2002-05-13,3150.0,2002,5,May,13,Monday
2002-05-14,4003.0,2002,5,May,14,Tuesday
2002-05-15,1146.0,2002,5,May,15,Wednesday
2002-05-16,1124.0,2002,5,May,16,Thursday
2002-05-17,281.0,2002,5,May,17,Friday
2002-05-18,0.0,2002,5,May,18,Saturday
2002-05-19,0.0,2002,5,May,19,Sunday
2002-05-20,1447.0,2002,5,May,20,Monday
2002-05-21,1184.0,2002,5,May,21,Tuesday
2002-05-22,659.0,2002,5,May,22,Wednesday
2002-05-23,417.0,2002,5,May,23,Thursday
2002-05-24,1482.0,2002,5,May,24,Friday
2002-05-25,0.0,2002,5,May,25,Saturday
2002-05-26,0.0,2002,5,May,26,Sunday
2002-05-27,0.0,2002,5,May,27,Monday
2002-05-28,1227.0,2002,5,May,28,Tuesday
2002-05-29,585.0,2002,5,May,29,Wednesday
2002-05-30,797.0,2002,5,May,30,Thursday
2002-05-31,2188.0,2002,5,May,31,Friday
2002-06-01,0.0,2002,6,June,01,Saturday
2002-06-02,0.0,2002,6,June,02,Sunday
2002-06-03,2909.0,2002,6,June,03,Monday
2002-06-04,1536.0,2002,6,June,04,Tuesday
2002-06-05,1564.0,2002,6,June,05,Wednesday
2002-06-06,1105.0,2002,6,June,06,Thursday
2002-06-07,1707.0,2002,6,June,07,Friday
2002-06-08,0.0,2002,6,June,08,Saturday
2002-06-09,0.0,2002,6,June,09,Sunday
2002-06-10,1916.0,2002,6,June,10,Monday
2002-06-11,1706.0,2002,6,June,11,Tuesday
2002-06-12,1113.0,2002,6,June,12,Wednesday
2002-06-13,1273.0,2002,6,June,13,Thursday
2002-06-14,754.0,2002,6,June,14,Friday
2002-06-15,0.0,2002,6,June,15,Saturday
2002-06-16,0.0,2002,6,June,16,Sunday
2002-06-17,1274.0,2002,6,June,17,Monday
2002-06-18,1556.0,2002,6,June,18,Tuesday
2002-06-19,3411.0,2002,6,June,19,Wednesday
2002-06-20,2413.0,2002,6,June,20,Thursday
2002-06-21,3954.0,2002,6,June,21,Friday
2002-06-22,0.0,2002,6,June,22,Saturday
2002-06-23,0.0,2002,6,June,23,Sunday
2002-06-24,1382.0,2002,6,June,24,Monday
2002-06-25,1578.0,2002,6,June,25,Tuesday
2002-06-26,2114.0,2002,6,June,26,Wednesday
2002-06-27,2641.0,2002,6,June,27,Thursday
2002-06-28,139.0,2002,6,June,28,Friday
2002-06-29,0.0,2002,6,June,29,Saturday
2002-06-30,0.0,2002,6,June,30,Sunday
2002-07-01,6111.0,2002,7,July,01,Monday
2002-07-02,1450.0,2002,7,July,02,Tuesday
