"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","2,593","2,563","2,603","2,563","12.54K","1.17%"
"11/03/2023","2,563","2,563","2,563","2,553","8.42K","0.78%"
"11/02/2023","2,543","2,523","2,543","2,513","108.20K","1.19%"
"11/01/2023","2,513","2,513","2,543","2,513","34.80K","-0.79%"
"10/31/2023","2,533","2,543","2,573","2,493","8.72K","-0.39%"
"10/30/2023","2,543","2,563","2,563","2,543","4.91K","-0.78%"
"10/27/2023","2,563","2,553","2,573","2,513","23.37K","-1.15%"
"10/26/2023","2,593","2,553","2,593","2,553","1.91K","0.00%"
"10/25/2023","2,593","2,543","2,593","2,523","14.04K","1.96%"
"10/24/2023","2,543","2,603","2,603","2,533","45.43K","-1.92%"
"10/23/2023","2,593","2,613","2,623","2,593","26.57K","-0.38%"
"10/20/2023","2,603","2,603","2,623","2,593","63.38K","-0.38%"
"10/19/2023","2,613","2,593","2,623","2,593","193.54K","0.00%"
"10/18/2023","2,613","2,613","2,613","2,603","8.12K","0.00%"
"10/17/2023","2,613","2,623","2,633","2,603","19.86K","-0.38%"
"10/16/2023","2,623","2,653","2,653","2,613","3.41K","-1.13%"
"10/13/2023","2,653","2,643","2,663","2,603","27.78K","0.38%"
"10/12/2023","2,643","2,643","2,643","2,633","9.93K","-0.75%"
"10/11/2023","2,663","2,633","2,663","2,623","5.42K","0.00%"
"10/10/2023","2,663","2,593","2,663","2,593","2.11K","0.00%"
"10/09/2023","2,663","2,593","2,663","2,593","9.93K","2.30%"
"10/06/2023","2,603","2,683","2,683","2,373","142.60K","-2.97%"
"10/05/2023","2,683","2,683","2,683","2,683","0.20K","0.00%"
"10/04/2023","2,683","2,653","2,683","2,653","6.32K","-0.37%"
"10/03/2023","2,693","2,693","2,693","2,683","19.86K","0.00%"
"10/02/2023","2,693","2,673","2,693","2,653","15.04K","0.00%"
"09/29/2023","2,693","2,702","2,702","2,673","11.43K","-0.37%"
"09/27/2023","2,702","2,712","2,712","2,673","9.23K","-0.37%"
"09/26/2023","2,712","2,702","2,712","2,673","700.24K","0.37%"
"09/25/2023","2,702","2,722","2,722","2,702","19.76K","-0.73%"
"09/22/2023","2,722","2,732","2,732","2,683","16.15K","-0.36%"
"09/21/2023","2,732","2,732","2,742","2,693","126.25K","0.00%"
"09/20/2023","2,732","2,722","2,732","2,722","60.97K","0.37%"
"09/19/2023","2,722","2,702","2,722","2,702","50.94K","0.00%"
"09/18/2023","2,722","2,722","2,722","2,702","7.42K","0.00%"
"09/15/2023","2,722","2,722","2,722","2,702","4.91K","0.00%"
"09/14/2023","2,722","2,693","2,752","2,693","16.25K","0.37%"
"09/13/2023","2,712","2,702","2,712","2,702","7.32K","0.00%"
"09/12/2023","2,712","2,693","2,712","2,693","20.46K","0.00%"
"09/11/2023","2,712","2,722","2,722","2,693","5.92K","-0.37%"
"09/08/2023","2,722","2,693","2,722","2,683","11.73K","0.00%"
"09/07/2023","2,722","2,702","2,722","2,702","16.75K","0.37%"
"09/06/2023","2,712","2,712","2,712","2,693","86.04K","0.00%"
"09/05/2023","2,712","2,722","2,722","2,693","118.43K","-0.37%"
"09/04/2023","2,722","2,722","2,722","2,702","25.47K","0.00%"
"09/01/2023","2,722","2,722","2,732","2,712","62.77K","-0.36%"
"08/31/2023","2,732","2,732","2,732","2,722","20.96K","0.37%"
"08/30/2023","2,722","2,732","2,732","2,712","0.80K","-0.36%"
"08/29/2023","2,732","2,712","2,732","2,702","4.21K","0.00%"
