"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2022","6,600","6,450","6,600","6,375","40.67M","1.93%"
"08/02/2022","6,475","6,475","6,475","6,275","53.31M","0.00%"
"08/01/2022","6,475","6,425","6,550","6,350","55.51M","2.37%"
"07/29/2022","6,325","6,150","6,425","6,125","150.29M","4.55%"
"07/28/2022","6,050","6,125","6,150","6,025","51.91M","-0.82%"
"07/27/2022","6,100","6,125","6,125","6,000","35.07M","0.00%"
"07/26/2022","6,100","6,100","6,125","6,075","21.94M","0.41%"
"07/25/2022","6,075","6,050","6,150","6,050","24.67M","0.00%"
"07/22/2022","6,075","6,175","6,175","6,050","37.58M","-1.62%"
"07/21/2022","6,175","6,200","6,250","6,050","55.42M","-1.59%"
"07/20/2022","6,275","6,175","6,275","6,100","70.49M","3.29%"
"07/19/2022","6,075","6,025","6,150","6,025","50.73M","0.83%"
"07/18/2022","6,025","5,975","6,025","5,950","27.62M","1.26%"
"07/15/2022","5,950","6,000","6,075","5,925","32.40M","-2.46%"
"07/14/2022","6,100","5,825","6,100","5,825","59.85M","4.72%"
"07/13/2022","5,825","6,100","6,100","5,825","56.75M","-4.51%"
"07/12/2022","6,100","6,050","6,150","6,050","22.90M","0.83%"
"07/11/2022","6,050","5,975","6,075","5,925","49.95M","1.26%"
"07/08/2022","5,975","6,025","6,075","5,950","78.13M","0.42%"
"07/07/2022","5,950","6,025","6,125","5,900","62.87M","-2.06%"
"07/06/2022","6,075","6,300","6,400","6,050","67.77M","-3.95%"
"07/05/2022","6,325","6,500","6,525","6,325","39.70M","-2.69%"
"07/04/2022","6,500","6,500","6,575","6,300","43.09M","-0.38%"
"07/01/2022","6,525","6,675","6,675","6,500","52.39M","-1.51%"
"06/30/2022","6,625","6,525","6,650","6,500","52.84M","1.92%"
"06/29/2022","6,500","6,625","6,700","6,500","37.76M","-2.99%"
"06/28/2022","6,700","6,650","6,700","6,600","32.70M","0.75%"
"06/27/2022","6,650","6,700","6,750","6,550","48.28M","-0.37%"
"06/24/2022","6,675","6,900","6,900","6,650","42.39M","-2.91%"
"06/23/2022","6,875","6,850","6,875","6,750","30.14M","1.10%"
"06/22/2022","6,800","6,850","6,925","6,775","35.54M","-0.73%"
"06/21/2022","6,850","6,900","6,975","6,850","31.25M","-1.08%"
"06/20/2022","6,925","6,950","6,975","6,750","44.26M","-0.36%"
"06/17/2022","6,950","6,675","6,950","6,675","63.93M","1.46%"
"06/16/2022","6,850","6,850","6,950","6,750","74.98M","2.24%"
"06/15/2022","6,700","6,975","6,975","6,700","50.80M","-3.94%"
"06/14/2022","6,975","6,875","7,000","6,875","38.00M","-0.71%"
"06/13/2022","7,025","6,900","7,100","6,725","59.78M","1.44%"
"06/10/2022","6,925","7,100","7,175","6,925","57.62M","-3.82%"
"06/09/2022","7,200","7,150","7,350","7,150","37.79M","0.35%"
"06/08/2022","7,175","7,150","7,350","7,150","33.48M","-0.35%"
"06/07/2022","7,200","7,300","7,400","7,200","54.81M","-0.35%"
"06/06/2022","7,225","7,200","7,250","7,075","53.39M","-1.03%"
"06/03/2022","7,300","7,350","7,475","7,300","43.95M","-0.34%"
"06/02/2022","7,325","7,300","7,500","7,250","72.73M","-0.34%"
"05/31/2022","7,350","7,250","7,475","7,250","90.80M","1.38%"
"05/30/2022","7,250","7,275","7,275","7,125","37.15M","0.35%"
"05/27/2022","7,225","7,200","7,300","7,150","34.77M","1.76%"
"05/25/2022","7,100","7,100","7,175","7,050","51.20M","-0.70%"
"05/24/2022","7,150","7,025","7,200","7,025","52.18M","2.88%"
"05/23/2022","6,950","7,125","7,175","6,825","46.37M","-2.46%"
"05/20/2022","7,125","7,050","7,200","7,050","37.67M","1.79%"
"05/19/2022","7,000","6,925","7,125","6,850","27.56M","-1.41%"
"05/18/2022","7,100","6,975","7,200","6,925","44.86M","1.43%"
"05/17/2022","7,000","7,250","7,300","7,000","40.28M","-1.75%"
"05/13/2022","7,125","6,900","7,225","6,850","73.26M","4.01%"
"05/12/2022","6,850","6,900","7,025","6,725","45.59M","-0.72%"
"05/11/2022","6,900","7,025","7,225","6,900","71.29M","-1.43%"
"05/10/2022","7,000","6,650","7,000","6,625","118.48M","-0.71%"
"05/09/2022","7,050","7,425","7,425","7,050","81.09M","-6.93%"
"04/28/2022","7,575","7,250","7,700","7,225","118.15M","6.32%"
"04/27/2022","7,125","7,175","7,200","7,050","34.99M","-1.04%"
"04/26/2022","7,200","7,100","7,200","7,000","39.22M","1.77%"
"04/25/2022","7,075","7,050","7,150","6,875","52.31M","0.35%"
"04/22/2022","7,050","6,975","7,100","6,875","39.80M","0.71%"
"04/21/2022","7,000","6,925","7,100","6,900","51.44M","1.45%"
"04/20/2022","6,900","6,900","6,975","6,825","39.88M","0.00%"
"04/19/2022","6,900","7,050","7,050","6,800","29.24M","-1.43%"
"04/18/2022","7,000","6,900","7,050","6,900","32.96M","1.82%"
"04/14/2022","6,875","6,975","7,050","6,875","23.89M","-1.43%"
"04/13/2022","6,975","6,950","7,000","6,875","52.82M","0.36%"
"04/12/2022","6,950","6,875","6,950","6,825","41.88M","1.46%"
"04/11/2022","6,850","6,975","7,000","6,750","51.48M","-2.14%"
"04/08/2022","7,000","7,000","7,075","6,900","55.01M","1.45%"
"04/07/2022","6,900","6,950","7,000","6,850","41.49M","-1.43%"
"04/06/2022","7,000","6,825","7,000","6,800","48.85M","1.45%"
"04/05/2022","6,900","6,825","6,900","6,725","28.58M","1.10%"
"04/04/2022","6,825","6,775","6,825","6,675","29.37M","1.87%"
"04/01/2022","6,700","6,775","6,775","6,625","35.37M","1.90%"
"03/31/2022","6,575","6,675","6,675","6,575","41.35M","-1.13%"
"03/30/2022","6,650","6,550","6,650","6,500","34.32M","1.53%"
"03/29/2022","6,550","6,600","6,700","6,550","24.90M","-2.24%"
"03/28/2022","6,700","6,400","6,775","6,400","68.55M","4.69%"
"03/25/2022","6,400","6,550","6,575","6,375","42.98M","-2.66%"
"03/24/2022","6,575","6,425","6,575","6,425","37.64M","1.54%"
"03/23/2022","6,475","6,575","6,575","6,450","27.35M","-1.52%"
"03/22/2022","6,575","6,600","6,600","6,500","39.26M","-0.38%"
"03/21/2022","6,600","6,450","6,600","6,450","72.45M","3.13%"
"03/18/2022","6,400","6,450","6,450","6,325","69.49M","-0.39%"
"03/17/2022","6,425","6,400","6,475","6,350","53.84M","0.39%"
"03/16/2022","6,400","6,325","6,400","6,300","55.78M","1.59%"
"03/15/2022","6,300","6,425","6,450","6,275","57.19M","-1.18%"
"03/14/2022","6,375","6,350","6,425","6,300","61.81M","1.59%"
"03/11/2022","6,275","6,175","6,300","6,125","32.94M","0.40%"
"03/10/2022","6,250","6,300","6,300","6,150","56.58M","-0.79%"
"03/09/2022","6,300","6,500","6,500","6,225","107.85M","0.80%"
"03/08/2022","6,250","6,000","6,550","5,975","256.66M","7.76%"
"03/07/2022","5,800","5,600","5,825","5,550","59.98M","3.11%"
"03/04/2022","5,625","5,575","5,675","5,525","50.35M","1.81%"
"03/02/2022","5,525","5,650","5,700","5,500","80.57M","-3.07%"
"03/01/2022","5,700","5,800","5,950","5,700","101.23M","-1.72%"
"02/25/2022","5,800","5,700","5,800","5,650","97.60M","1.75%"
"02/24/2022","5,700","5,625","5,775","5,525","76.49M","0.88%"
"02/23/2022","5,650","5,575","5,650","5,525","44.30M","1.35%"
"02/22/2022","5,575","5,525","5,575","5,450","49.23M","0.00%"
"02/21/2022","5,575","5,625","5,650","5,550","27.51M","-0.45%"
"02/18/2022","5,600","5,450","5,625","5,425","53.98M","2.28%"
"02/17/2022","5,475","5,500","5,525","5,425","47.57M","0.00%"
