"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2023","6,000","5,900","6,075","5,900","48.85M","1.69%"
"10/09/2023","5,900","6,025","6,050","5,900","45.32M","-2.07%"
"10/06/2023","6,025","6,150","6,150","6,025","25.91M","-1.63%"
"10/05/2023","6,125","6,150","6,200","6,100","69.57M","0.00%"
"10/04/2023","6,125","6,075","6,125","5,975","69.15M","0.82%"
"10/03/2023","6,075","6,000","6,075","6,000","37.14M","0.41%"
"10/02/2023","6,050","6,025","6,100","6,025","33.30M","0.41%"
"09/29/2023","6,025","6,050","6,050","6,000","71.56M","0.42%"
"09/27/2023","6,000","5,925","6,050","5,900","75.05M","1.27%"
"09/26/2023","5,925","5,975","6,000","5,850","109.79M","-1.25%"
"09/25/2023","6,000","6,000","6,050","5,975","40.71M","0.00%"
"09/22/2023","6,000","6,000","6,050","5,975","51.07M","0.00%"
"09/21/2023","6,000","6,050","6,075","5,975","60.54M","-1.23%"
"09/20/2023","6,075","6,100","6,125","6,050","64.86M","1.25%"
"09/19/2023","6,000","5,900","6,075","5,875","93.89M","1.69%"
"09/18/2023","5,900","5,900","5,950","5,875","53.45M","-0.42%"
"09/15/2023","5,925","5,900","5,975","5,850","165.11M","1.72%"
"09/14/2023","5,825","5,825","5,875","5,775","59.13M","-0.43%"
"09/13/2023","5,850","5,825","5,850","5,775","69.88M","-0.43%"
"09/12/2023","5,875","5,950","5,950","5,850","54.08M","-0.84%"
"09/11/2023","5,925","5,900","5,925","5,825","74.51M","0.42%"
"09/08/2023","5,900","5,900","5,925","5,775","81.98M","0.43%"
"09/07/2023","5,875","6,000","6,025","5,825","124.35M","-2.89%"
"09/06/2023","6,050","6,050","6,125","6,050","40.55M","-0.82%"
"09/05/2023","6,100","6,100","6,150","6,075","24.89M","0.00%"
"09/04/2023","6,100","6,075","6,150","6,050","56.32M","0.41%"
"09/01/2023","6,075","6,075","6,125","6,050","50.80M","0.83%"
"08/31/2023","6,025","6,000","6,075","5,900","159.06M","0.84%"
"08/30/2023","5,975","5,925","6,100","5,925","65.73M","0.42%"
"08/29/2023","5,950","6,000","6,025","5,950","50.84M","-0.83%"
